Ticker,CompanyName,CompanyCategory,Date,TtmNetIncome,ShareholdersEquity,PreviousRoe,PercentChangeInRoe,PercentOfPositiveWords,PercentOfNegativeWords,PercentOfLitiguousWords,PercentOfConstrainingWords,PercentOfStrongModalWords,PercentOfWeakModalWords,PercentOfUncertaintyWords
TIVO,tivo,Internet Services,12/31/2016,$0.03B,$1.91B,3.95,-42.78481013,7.319347319,26.38694639,12.63403263,14.31235431,2.750582751,14.31235431,22.28438228
TIVO,tivo,Internet Services,9/30/2016,$0.05B,$1.88B,-1.86,-312.3655914,7.319347319,26.38694639,12.63403263,14.31235431,2.750582751,14.31235431,22.28438228
TIVO,tivo,Internet Services,6/30/2016,$-0.02B,$1.03B,-0.68,173.5294118,7.319347319,26.38694639,12.63403263,14.31235431,2.750582751,14.31235431,22.28438228
TIVO,tivo,Internet Services,3/31/2016,$-0.01B,$1.03B,-0.39,74.35897436,7.319347319,26.38694639,12.63403263,14.31235431,2.750582751,14.31235431,22.28438228
HSTM,healthstream,Internet Services,12/31/2018,$0.03B,$0.32B,10.99,-4.367606915,13.15789474,22.46963563,16.19433198,5.465587045,3.846153846,5.465587045,33.40080972
HSTM,healthstream,Internet Services,9/30/2018,$0.03B,$0.32B,11.18,-1.699463327,13.15789474,22.46963563,16.19433198,5.465587045,3.846153846,5.465587045,33.40080972
HSTM,healthstream,Internet Services,6/30/2018,$0.03B,$0.31B,11.02,1.451905626,13.15789474,22.46963563,16.19433198,5.465587045,3.846153846,5.465587045,33.40080972
HSTM,healthstream,Internet Services,3/31/2018,$0.03B,$0.31B,3.39,225.0737463,13.15789474,22.46963563,16.19433198,5.465587045,3.846153846,5.465587045,33.40080972
HSTM,healthstream,Internet Services,12/31/2017,$0.01B,$0.30B,2.06,64.5631068,9.736842105,13.68421053,6.578947368,7.368421053,5.789473684,7.368421053,49.47368421
HSTM,healthstream,Internet Services,9/30/2017,$0.01B,$0.30B,1.39,48.20143885,9.736842105,13.68421053,6.578947368,7.368421053,5.789473684,7.368421053,49.47368421
HSTM,healthstream,Internet Services,6/30/2017,$0.00B,$0.29B,1.05,32.38095238,9.736842105,13.68421053,6.578947368,7.368421053,5.789473684,7.368421053,49.47368421
HSTM,healthstream,Internet Services,3/31/2017,$0.00B,$0.29B,1.41,-25.53191489,9.736842105,13.68421053,6.578947368,7.368421053,5.789473684,7.368421053,49.47368421
HSTM,healthstream,Internet Services,12/31/2016,$0.00B,$0.29B,2.12,-33.49056604,8.430913349,13.58313817,7.494145199,6.323185012,5.620608899,6.323185012,52.22482436
HSTM,healthstream,Internet Services,9/30/2016,$0.01B,$0.29B,2.84,-25.35211268,8.430913349,13.58313817,7.494145199,6.323185012,5.620608899,6.323185012,52.22482436
HSTM,healthstream,Internet Services,6/30/2016,$0.01B,$0.28B,2.88,-1.388888889,8.430913349,13.58313817,7.494145199,6.323185012,5.620608899,6.323185012,52.22482436
HSTM,healthstream,Internet Services,3/31/2016,$0.01B,$0.28B,3.59,-19.77715877,8.430913349,13.58313817,7.494145199,6.323185012,5.620608899,6.323185012,52.22482436
HSTM,healthstream,Internet Services,12/31/2015,$0.01B,$0.28B,4.49,-20.04454343,8.894230769,13.94230769,6.25,6.730769231,3.605769231,6.730769231,53.84615385
HSTM,healthstream,Internet Services,9/30/2015,$0.01B,$0.28B,5.18,-13.32046332,8.894230769,13.94230769,6.25,6.730769231,3.605769231,6.730769231,53.84615385
HSTM,healthstream,Internet Services,6/30/2015,$0.01B,$0.27B,6.7,-22.68656716,8.894230769,13.94230769,6.25,6.730769231,3.605769231,6.730769231,53.84615385
HSTM,healthstream,Internet Services,3/31/2015,$0.01B,$0.17B,6.25,7.2,8.894230769,13.94230769,6.25,6.730769231,3.605769231,6.730769231,53.84615385
HSTM,healthstream,Internet Services,12/31/2014,$0.01B,$0.17B,5.8,7.75862069,10.47440113,22.35791451,10.09863786,12.77595115,3.616721465,12.77595115,27.90042273
HSTM,healthstream,Internet Services,9/30/2014,$0.01B,$0.16B,5.31,9.22787194,10.47440113,22.35791451,10.09863786,12.77595115,3.616721465,12.77595115,27.90042273
HSTM,healthstream,Internet Services,6/30/2014,$0.01B,$0.16B,5.47,-2.925045704,10.47440113,22.35791451,10.09863786,12.77595115,3.616721465,12.77595115,27.90042273
HSTM,healthstream,Internet Services,3/31/2014,$0.01B,$0.15B,5.65,-3.185840708,10.47440113,22.35791451,10.09863786,12.77595115,3.616721465,12.77595115,27.90042273
HSTM,healthstream,Internet Services,12/31/2013,$0.01B,$0.15B,5.83,-3.087478559,9.838403042,21.6730038,10.50380228,12.7851711,4.325095057,12.7851711,28.08935361
HSTM,healthstream,Internet Services,9/30/2013,$0.01B,$0.14B,5.98,-2.508361204,9.838403042,21.6730038,10.50380228,12.7851711,4.325095057,12.7851711,28.08935361
HSTM,healthstream,Internet Services,6/30/2013,$0.01B,$0.14B,6.12,-2.287581699,9.838403042,21.6730038,10.50380228,12.7851711,4.325095057,12.7851711,28.08935361
HSTM,healthstream,Internet Services,3/31/2013,$0.01B,$0.14B,5.48,11.67883212,9.838403042,21.6730038,10.50380228,12.7851711,4.325095057,12.7851711,28.08935361
HSTM,healthstream,Internet Services,12/31/2012,$0.01B,$0.13B,5.6,-2.142857143,9.701845717,21.58069096,10.41173687,13.06199716,4.070042593,13.06199716,28.11168954
HSTM,healthstream,Internet Services,9/30/2012,$0.01B,$0.13B,6.44,-13.04347826,9.701845717,21.58069096,10.41173687,13.06199716,4.070042593,13.06199716,28.11168954
HSTM,healthstream,Internet Services,6/30/2012,$0.01B,$0.13B,7.59,-15.15151515,9.701845717,21.58069096,10.41173687,13.06199716,4.070042593,13.06199716,28.11168954
HSTM,healthstream,Internet Services,3/31/2012,$0.01B,$0.12B,10.49,-27.64537655,9.701845717,21.58069096,10.41173687,13.06199716,4.070042593,13.06199716,28.11168954
HSTM,healthstream,Internet Services,12/31/2011,$0.01B,$0.12B,11.62,-9.724612737,4.761904762,23.80952381,61.9047619,0,9.523809524,0,0
HSTM,healthstream,Internet Services,9/30/2011,$0.01B,$0.06B,10.34,12.37911025,4.761904762,23.80952381,61.9047619,0,9.523809524,0,0
HSTM,healthstream,Internet Services,6/30/2011,$0.01B,$0.06B,8.85,16.83615819,4.761904762,23.80952381,61.9047619,0,9.523809524,0,0
HSTM,healthstream,Internet Services,3/31/2011,$0.01B,$0.06B,7.27,21.73314993,4.761904762,23.80952381,61.9047619,0,9.523809524,0,0
HSTM,healthstream,Internet Services,12/31/2010,$0.00B,$0.06B,24.19,-69.94625878,9.870627695,21.46621945,10.9247724,12.41015812,4.024916148,12.41015812,28.89314806
HSTM,healthstream,Internet Services,9/30/2010,$0.01B,$0.06B,25.87,-6.494008504,9.870627695,21.46621945,10.9247724,12.41015812,4.024916148,12.41015812,28.89314806
HSTM,healthstream,Internet Services,6/30/2010,$0.01B,$0.06B,30.11,-14.08170043,9.870627695,21.46621945,10.9247724,12.41015812,4.024916148,12.41015812,28.89314806
HSTM,healthstream,Internet Services,3/31/2010,$0.01B,$0.05B,32.75,-8.061068702,9.870627695,21.46621945,10.9247724,12.41015812,4.024916148,12.41015812,28.89314806
TRUE,truecar,Internet Services,12/31/2018,$-0.03B,$0.35B,-9.23,-8.992416035,5.600961538,31.85096154,20.12019231,11.17788462,2.139423077,11.17788462,17.93269231
TRUE,truecar,Internet Services,9/30/2018,$-0.03B,$0.34B,-10.73,-13.97949674,5.600961538,31.85096154,20.12019231,11.17788462,2.139423077,11.17788462,17.93269231
TRUE,truecar,Internet Services,6/30/2018,$-0.03B,$0.32B,-11.31,-5.128205128,5.600961538,31.85096154,20.12019231,11.17788462,2.139423077,11.17788462,17.93269231
TRUE,truecar,Internet Services,3/31/2018,$-0.04B,$0.32B,-11.47,-1.39494333,5.600961538,31.85096154,20.12019231,11.17788462,2.139423077,11.17788462,17.93269231
TRUE,truecar,Internet Services,12/31/2017,$-0.03B,$0.31B,-12.42,-7.648953301,5.650175723,31.81941065,18.92403352,11.57069478,2.162746688,11.57069478,18.30224385
TRUE,truecar,Internet Services,9/30/2017,$-0.03B,$0.31B,-12.32,0.811688312,5.650175723,31.81941065,18.92403352,11.57069478,2.162746688,11.57069478,18.30224385
TRUE,truecar,Internet Services,6/30/2017,$-0.03B,$0.30B,-16.46,-25.15188335,5.650175723,31.81941065,18.92403352,11.57069478,2.162746688,11.57069478,18.30224385
TRUE,truecar,Internet Services,3/31/2017,$-0.04B,$0.23B,-18.77,-12.30687267,5.650175723,31.81941065,18.92403352,11.57069478,2.162746688,11.57069478,18.30224385
TRUE,truecar,Internet Services,12/31/2016,$-0.04B,$0.23B,-27.02,-30.53293856,5.968436155,32.33859397,18.59397418,11.44906743,2.152080344,11.44906743,18.04878049
TRUE,truecar,Internet Services,9/30/2016,$-0.06B,$0.22B,-28.14,-3.980099502,5.968436155,32.33859397,18.59397418,11.44906743,2.152080344,11.44906743,18.04878049
TRUE,truecar,Internet Services,6/30/2016,$-0.07B,$0.22B,-27.37,2.813299233,5.968436155,32.33859397,18.59397418,11.44906743,2.152080344,11.44906743,18.04878049
